Tweet,Avg,Sentiment
#AAPL iPad wins in ranking for best Android tablets - Seems reasonable right? ,2.0,Positive
#AAPL moving towards the #IoT and more connectivity in your everyday life. RT @businessinsider: THE FUTURE OF APPLE ,2.0,Positive
#AAPL now moves a point faster the a New York driver changes lanes.,0.0,Neutral
#AAPL providing another great entry point &lt; $115.0,2.0,Positive
#AAPL slide opens opportunity. Can't fill iPhone 6 or 6Plus orders 6Plus rumored to be much much higher % than prev reported.,-2.0,Negative
#AAPL: Audio: Auto sales due; Apple lawsuit heads to court...,0.0,Neutral
#AAPL: Steve Jobs to Be Star Witness in #Apple iPod Lawsuit: Steve Jobs e1294712990453 #AAPL: Steve Jobs to Be... ,0.0,Neutral
#AAPL:'Fast Money' Recap: Energy Companies Ebb and Flow With Oil Prices...,0.0,Neutral
#AAPL:'Fast Money' Recap: Which Stocks Are Struggling Despite the Rally?...,0.0,Neutral
#AAPL:'Fast Money' Recap: Will Oil Companies Start Cutting Their Dividends?...,0.0,Neutral
#AAPL:10 Best and Coolest Tech Gadgets for the 2014 Holiday Season...,0.0,Neutral
#AAPL:10 Steve Jobs emails you need to read...,0.0,Neutral
#AAPL:12 Unexpected Stocks Bringing Buffett and Fellow Billionaires Holiday ...,0.0,Neutral
#AAPL:31 Traits All Great Leaders Share...,0.0,Neutral
#AAPL:4-inch iPhone 6: Five Reasons Apple Won't Make It...,0.0,Neutral
#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...,0.0,Neutral
#AAPL:5 companies growing faster than Apple...//rss.cnn.com/~r/rss/money_latest/~3/n1Ps4CmqWL4/index.html,0.0,Neutral
#AAPL:6 Reasons Apple Could Have Fallen 6% Yesterday...,0.0,Neutral
#AAPL:A Developer Perfectly Summed Up The Limitations Of The Apple Watch...,-2.0,Negative
#AAPL:A Lawsuit Asks Whether Apple Used iTunes For Price-Fixing...,0.0,Neutral
#AAPL:A Year Later Microsoft's Nokia Acquisition Makes Sense...,0.0,Neutral
#AAPL:After Years Of Losses Apple Is Finally Clawing Back Some Market Share ...,0.0,Neutral
#AAPL:After-hours buzz: Apple Bob Evans Farms &amp; more...,0.0,Neutral
#AAPL:Alabama Anti-Discrimination Bill To Be Named After Apple CEO Tim Cook...,0.0,Neutral
#AAPL:Alabama anti-discrimination bill to be named after Apple's Tim Cook...,0.0,Neutral
#AAPL:Android Phones to Dominate Through 2018 While iOS Phone Revenue Will ...,-2.0,Negative
#AAPL:Apple (AAPL) Stock Is Falling Today Amid iPod Pricing Lawsuit...,-2.0,Negative
#AAPL:Apple Could Face iPhone 6 Shortages Next Year...,0.0,Neutral
#AAPL:Apple Could Pay Up To $1 Bln Penalty In IPod ITunes Antitrust Litigati...,0.0,Neutral
#AAPL:Apple Devices Clobber Androids On Cyber Monday But The Underdog Is Ca...,0.0,Neutral
#AAPL:Apple Donating Portion of Profit to Fight Against AIDS...,2.0,Positive
#AAPL:Apple Exec Gets A Federal Prison Sentence For Taking Kickbacks On Leak...,-2.0,Negative
#AAPL:Apple Inc. (AAPL) Falls For Week Because Of Monday Morning Drop...,-2.0,Negative
#AAPL:Apple Inc. (AAPL): Is The Run Over?...,0.0,Neutral
#AAPL:Apple Inc. International Business Machines Corp. Exxon Mobil Corpora...,0.0,Neutral
#AAPL:Apple Inc. and Facebook Clash; Neither Is Wrong...,0.0,Neutral
#AAPL:Apple Is Building A $161 Million Theatre...,0.0,Neutral
#AAPL:Apple Just Patented An Idea That Steve Jobs Would Have Hated...,-2.0,Negative
#AAPL:Apple Loop: iPhone 6S Rumors Jobs And Wozniak's Garage Myth iPhone 6...,0.0,Neutral
#AAPL:Apple Loop: iPhone 6S Rumors Steve Job's Garage Myth iPhone 6C Specu...,0.0,Neutral
#AAPL:Apple Loop: iPhone 6S Rumors The Myth Of Steve Job's Garage iPhone 6...,0.0,Neutral
#AAPL:Apple Pay faces challenge as two drug stores reject it...,-2.0,Negative
#AAPL:Apple Returns Cash To Shareholders Because It's Out Of Ideas On How To...,-2.0,Negative
#AAPL:Apple Samsung Argue in Appeals Court...,0.0,Neutral
#AAPL:Apple Should Fight The New Court Case Over Steve Jobs' DRM Decision...,0.0,Neutral
#AAPL:Apple antitrust case hangs in the balance...,0.0,Neutral
#AAPL:Apple back in court with $1 billion on the line...,-2.0,Negative
#AAPL:Apple co-founder The Woz going into reality TV...,0.0,Neutral
#AAPL:Apple deleted music from customers' iPods...,-2.0,Negative
#AAPL:Apple deleted songs from customers' iPods...,-2.0,Negative
#AAPL:Apple executives to take stand in antitrust trial...,2.0,Positive
#AAPL:Apple heads to trial over digital music claims...,0.0,Neutral
#AAPL:Apple heads to trial with Steve Jobs as a witness...,0.0,Neutral
#AAPL:Apple products may have Bah! Humbug! holiday: Survey...,-2.0,Negative
#AAPL:Apple says plaintiffs' iPods not covered by suit...,0.0,Neutral
#AAPL:Apple trial continues without a plaintiff for now...,0.0,Neutral
#AAPL:Apple's Eddy Cue Talks About Price-Fixing On E-Books: He'd 'Do It Agai...,0.0,Neutral
#AAPL:Apple's Former CEO Thinks The Apple Watch Will Flop - But He Loves App...,0.0,Neutral
#AAPL:Apple's iPhone 6 China Unicom Lead-Times...,0.0,Neutral
#AAPL:Apple's iPhone 6 Lead-Times Still Longer Than Previous Models...,2.0,Positive
#AAPL:Apple's iPhone Gained Significant Share In The US Japan Germany And ...,0.0,Neutral
#AAPL:Beacons Hit Stores Ahead of Holidays...,2.0,Positive
#AAPL:Bloomberg Law Brief: Antitrust Suit Against Apple (Audio)...,0.0,Neutral
#AAPL:Bloomberg Law: $1 Billion Antitrust Suit Against Apple (Audio)...,0.0,Neutral
#AAPL:Buzz Stocks: Apple Inc. (AAPL) RadioShack Corporation and dELiA's I...,0.0,Neutral
#AAPL:Call America for free until Christmas: Tesco cuts costs for relaunch...,0.0,Neutral
#AAPL:Canaccord ups Apple price target to $135 a share...,0.0,Neutral
#AAPL:Check Out The Collection Of A Guy Who Started Accumulating Classic App...,0.0,Neutral
#AAPL:Corporate Earnings to Contract; Short Apple: Best of Kass...,0.0,Neutral
#AAPL:Corrupt Apple exec sentenced to 1 year in prison...,-2.0,Negative
#AAPL:DexCom CEO Terry Gregg Explains 50% YTD Stock Leap Plans for 2015...,0.0,Neutral
#AAPL:Did Carl Icahn cause a new private equity bubble?...,0.0,Neutral
#AAPL:Did Carl Icahn cause the private equity bubble?...,0.0,Neutral
#AAPL:Don't Confuse Morgan Stanley Decreasing Apple's Weighting By 1% With B...,0.0,Neutral
#AAPL:Exchange iPhone for Passport and Receive Up to $550...,0.0,Neutral
#AAPL:Finally! Brooklyn Is Getting Its Own Apple Store...,2.0,Positive
#AAPL:Google tops Apple...//feeds.foxbusiness.com/~r/foxbusiness/video/~3/-DbuiO5m0_M/,0.0,Neutral
#AAPL:Has Tim Cook 'Wasted' $100 Billion At Apple?...,0.0,Neutral
#AAPL:Here's Apple's Idea For A 3D iPhone Display...,0.0,Neutral
#AAPL:Here's Apple's Next Great Business...,0.0,Neutral
#AAPL:Here's The Perfect Gift For Any Apple Fan...,2.0,Positive
#AAPL:Here's Why Apple Won't Be A Trillion Dollar Company According To Billi...,0.0,Neutral
#AAPL:Here's why Apple dropped...,-2.0,Negative
#AAPL:Here's why Apple shares will reach $135: Analyst...,0.0,Neutral
#AAPL:How Apple Inc (AAPL) Is Crushing Google Inc (GOOGL) On Mobile Shopping...,2.0,Positive
#AAPL:How Facebook And Apple Their Technologies Reduce Inequality...,0.0,Neutral
#AAPL:How to Remove Apple Pay Credit Cards Remotely From ,0.0,Neutral
#AAPL:How to get an unsubsidized smartphone for $25...,0.0,Neutral
#AAPL:In Emails Steve Jobs Determined to Keep iPod Apple-Only...,0.0,Neutral
#AAPL:In Their Own Words: Baidu's Robin Li On Xiaomi Founder Lei Jun's 'Guts...,0.0,Neutral
#AAPL:In Their Own Words: Investor Robin Chan Talks About Xiaomi's Lei Jun...,0.0,Neutral
#AAPL:In emails Jobs determined to keep iPod Apple-only...,0.0,Neutral
#AAPL:Is it time to start buying Apple?...,0.0,Neutral
#AAPL:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...,0.0,Neutral
#AAPL:Jim Cramer: Why This Is Not the Tech Bubble We Saw in 2000...,0.0,Neutral
#AAPL:John Sculley Pans Apple Watch Loves Apple Pay...,0.0,Neutral
#AAPL:My Three Horsemen Of The NASDAQ 100: Apple Microsoft And Gilead Scie...,0.0,Neutral
#AAPL:New 4-inch iPhone 6 Reported. 5 Reasons Apple Must Make It...,0.0,Neutral
#AAPL:New Far-Reaching Apple Patent Reveals Next iPhone May Demonstrate A C...,0.0,Neutral
#AAPL:One Of Apple's Earliest Employees Describes The First Time Steve Jobs ...,0.0,Neutral
#AAPL:One Thing Everyone Is Getting Wrong When It Comes To The Apple Televis...,0.0,Neutral
#AAPL:Outside the Box: How things changed this week: good jobs and bad Jobs...,0.0,Neutral
#AAPL:PM Abe says Apple to build big R&amp;D center in Japan: media...,2.0,Positive
#AAPL:PM Abe says Apple to build technical center in Japan...,0.0,Neutral
#AAPL:Pacific Crest's Apple Analyst Reiterates Selling Some Shares...,0.0,Neutral
#AAPL:Pale hoarse Steve Jobs defends Apple in videotaped deposition in iPod...,0.0,Neutral
#AAPL:Samsung asks appeals court to throw out $930 million damages in Apple ...,0.0,Neutral
#AAPL:See Which 11 Guru Fund Managers Hold Apple...,0.0,Neutral
#AAPL:Should Apple Amazon or eBay Be Portfolio Picks for 2015?...,0.0,Neutral
#AAPL:Steve Jobs Defends Apple in Taped Deposition...,0.0,Neutral
#AAPL:Steve Jobs Gives Posthumous Testimony In Apple Trial...,0.0,Neutral
#AAPL:Steve Jobs emails featured in Apple iPod U.S. antitrust trial...,-2.0,Negative
#AAPL:The 10 best Steve Jobs emails ever...,0.0,Neutral
#AAPL:The Tell: Apple patents way to save iPhone from dropping and breaking...,0.0,Neutral
#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...,0.0,Neutral
#AAPL:UBS Increases Apple's iPhone 6 Sales Revenue And EPS...,0.0,Neutral
#AAPL:UPDATE 1-Alabama anti-discrimination bill to be named after Apple's Ti...,0.0,Neutral
#AAPL:UPDATE 1-Taiwan Nov export growth tops expectations despite China wea...,0.0,Neutral
#AAPL:Watch List: AT&amp;T (NYSE:T) Apple (NASDAQ:AAPL) Pandora Media Inc (NYS...,0.0,Neutral
#AAPL:Why can't Apple meet demand for the iPhone 6?...,-2.0,Negative
#AAPL:iPad Mini 3 vs Sony Xperia Z3 Tablet Compact: Step Aside Sony Apple S...,0.0,Neutral
#AAPL:iPhone 6 Patent Fraud Case in China Complicated Hacked Photos...,0.0,Neutral
#AAPL:iPhone 7 Rumors: Might be Called iPhone 6S Coming in 3 Styles...,0.0,Neutral
#AAPL:iPhone 7 Rumors: Might be Called iPhone 6S; Come in 3 Styles...,0.0,Neutral
#Alle #News zu #iPhone #iPod und @Apple [#Apple] Watch. (#Monday 8 #December) ,0.0,Neutral
#Apple #AAPL Plans to Launch #iPhone6Mini Version in 2015 - Dec 8 2014 - via @ZacksResearch,0.0,Neutral
#Apple #PayPal And #MobilePayments Worldwide #AAPL ,0.0,Neutral
#Apple 'hoarding' #iPhone6 supply for its own stores #IBDBlogs via @IBDinvestors #aapl,0.0,Neutral
#Apple (NASDAQ: #AAPL) Participates in World Aids Day Campaign: #Apple #AAPL Campaign... ,0.0,Neutral
#Apple Bears Get Paid as Put Contracts Double Amid Drop #aapl ,0.0,Neutral
#Apple Campus 2 December 2014 update Drone Flyover video - #AAPL #CompanyTagged ,0.0,Neutral
#Apple Inc. #AAPL News Analysis: Did Apple Inc (AAPL) CEO Steve Jobs Consider Himself Above The Law? ,-2.0,Negative
#Apple Inc. #AAPL Price Target EPS Estimates Raised by BMO via @ValueWalk,0.0,Neutral
#Apple Inc. Short Interest Down Significantly In November #aapl,0.0,Neutral
#Apple Inc. To Have An 'Explosive' Quarter: JMP Analyst #aapl ,2.0,Positive
#Apple Inc. and #Facebook Clash; Neither Is Wrong | The Motley Fool #fb #aapl ,0.0,Neutral
#Apple Inc. is Catching up on #iPhone6 Supply But Still Lagging Demand | The Motley Fool #aapl ,0.0,Neutral
#Apple Is Now Worth More Than The Entire Russian Stock Market via @bi_contributors #AAPL $AAPL,2.0,Positive
#Apple Just Patented An Idea That #SteveJobs Would Have Hated #aapl ,-2.0,Negative
#Apple PT Raised to $135.00 #AAPL via @RatingsNetwork,0.0,Neutral
#Apple Patents Method to Make #iPhones Fall Like a Cat #aapl ,0.0,Neutral
#Apple Should Fight New Court Case Over #SteveJobs' DRM Decision - Forbes #aapl ,0.0,Neutral
#Apple Stores hosting Hour of Code programming workshops on December 11th - #AAPL #Tokyo,0.0,Neutral
#Apple TV #Sales Topped by Chromecast: #AAPL Being Pushed Out: #Apple Inc. (AAPL) never made much of a fuss ab... ,-2.0,Negative
#Apple Wants To Make Your Commute Much Easier According To This New Patent #aapl ,0.0,Neutral
#Apple admits it deleted songs purchased through competing stores from iPods ... - #AAPL #RealNetworks,-2.0,Negative
#Apple begins hiring retail positions in Brussels ahead of first #Belgium ... - #AAPL ,0.0,Neutral
#Apple dominates mobile online shopping at 78 percent in US #aapl ,2.0,Positive
#Apple heads to trial over iTunes update #AAPL ,0.0,Neutral
#Apple in the Dock: $1 Billion Antitrust Claim Casts #SteveJobs as Conspirator #aapl ,-2.0,Negative
#Apple lower following cautious Pac Crest Deutsche notes #AAPL #CRUS ,0.0,Neutral
#Apple planning to spend $161 million on its own auditorium at ... - #AAPL #WWDC ,0.0,Neutral
#Apple planning to support 500 #Apple resellers in #India focusing on iOS ... - #AAPL ,0.0,Neutral
#Apple questions whether iPod class action suit can proceed as case may lack genuine ... - #AAPL #EddyCue,0.0,Neutral
#Apple releases iOS 8.1.2 with fixes for bugs including ringtone issues - #AAPL #CompanyCheck,2.0,Positive
#Apple wins patent for #3D iPhone UI w/ motion gestures reassigns ... - #AAPL ,2.0,Positive
#Apple's #iPhone6 International Prices Are Higher Than The US - Forbes #aapl ,0.0,Neutral
#Apple's Eddy Cue Talks About Price-Fixing On E-Books: He'd 'Do It Again' #aapl ,0.0,Neutral
#Apple's Recent Pullback A Buy Opportunity #AAPL ,0.0,Neutral
#Apple's Success Has Made It Part Of The 'Payola Scheme': #Apple Inc. (NASDAQ: #AAPL) recently reached a new m... ,0.0,Neutral
#Apple: Facing A Challenge From #Google's #Android #AAPL ,0.0,Neutral
#Apple: Facing A Challenge From Google's Android - Apple Inc. #AAPL | Seeking Alpha ,0.0,Neutral
#Apple: Kantar's Data Points To A Huge December Quarter #AAPL ,0.0,Neutral
#Apple: Market Maker Price Range Forecast Update #AAPL ,0.0,Neutral
#AppleLawSuit Depends on exactly what @Apple did to hold back/beat their competition. There are fair game competitive tactics &amp; unfair 1sYK,-2.0,Negative
#ApplePay Partner #Stripe Valued at $3.5 Billion in Funding #aapl ,0.0,Neutral
#As @Apple [#Apple] still struggles to #meet #iPhone6 demand #Canaccord raises price .... (#Tuesday 2 #December) ,-2.0,Negative
#Atari @Apple #PowerPoint and @Starbucks are some of the @disruptive #innovation included in @BW list.,0.0,Neutral
#CNBC how does that fat finger on #AAPL look NOW! #@BobPisani only a few days later,0.0,Neutral
#CondoSeniors said @Apple needs to supply condo with dedicated tech. So many issues with iphone imac ipads warrants it. Tech will eat well,-2.0,Negative
#Flipping #great! the @Apple [#Apple] #iPhone 'that won't smash' because it detects when it .... (#Saturday 6 #... ,-2.0,Negative
#Forget @Apple [#Apple]'s #iPhone and @SamsungMobileUS #Samsung's Galaxy the #humble flip phone is back. (#Frid... ,-2.0,Negative
#Former @Apple exec sentenced to one year in prison for selling #company #secrets #uasm,-2.0,Negative
#Google #Chromecast Surpasses #Apple TV In U.S. Sales #aapl #amazon #amazonfiretv #amzn #appletv,0.0,Neutral
#Google May Be the Big Winner in LAUSD's #IPad Scandal via @BW #aapl,0.0,Neutral
#IPhone6 #Plus Captures 41% of US #phablet Sales #aapl ,0.0,Neutral
#IPhone6Plus Review: #A New Dawn For @Apple [#Apple]'s #iPhone. (#Thursday 4 #December) ,0.0,Neutral
#IPhone6Plus vs. Galaxy Note 4: #Has @Apple [#Apple] Really Snatched Away the #Phablet .... (#Thursday 4 #Decem... ,0.0,Neutral
#Intel's Keys To 2015 Earnings Growth #INTC #AAPL ,0.0,Neutral
#JimCramer you used the same logic to explain #TOL earnings during the paek in housing..Its a retailer..#AAPL just like #AMZN not tech.,0.0,Neutral
#Jobs Said #Apple Took Pains to Protect Record Contracts #SteveJobs #aapl ,0.0,Neutral
#Kantar: @Apple [#Apple] On Track For 'Record Quarter' As #iPhone6 Sales Bump Up Its .... (#Wednesday 3 #December) ,2.0,Positive
#Meet #Elevate @Apple [#Apple]'s Pick For Best #iPhone App Of the #Year. (#Monday 8 #December) ,0.0,Neutral
#Music is always part of my life and everyday @Apple is also as important as music to me ,2.0,Positive
#NYC #EricGarner protesters stage 'Die In' @Apple store LIVE @Rebelutionary_Z #BlackLivesMatters #ShutItDown,0.0,Neutral
#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..,-2.0,Negative
#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks,0.0,Neutral
#New #foldable #Macbook #Pro falling on your laptop creates @Apple s latest innovation ,0.0,Neutral
#New #foldable #Macbook #Pro falling on your laptop creates @Apple s lateståÊinnovation ,0.0,Neutral
#New @Apple [#Apple] #iPhone with 4in screen for #one. (#Sunday 7 #December) ,0.0,Neutral
#OVER fab photo edit app @Apple ,0.0,Neutral
#OnThisDayinDigital @Apple signed a deal with China today in 2013 to finally sell #iPhones in the country ,0.0,Neutral
#PeroQueMorro !!!! 'Lawyers say #iPods deleted songs not purchased from @Apple' via @gigaom,-2.0,Negative
#PeterHewer @Apple iPhone 6 claimed to copy a Chinese smartphone design. Ouch,-2.0,Negative
#Robots #fabricando #iPhone #iPad Pro @Apple [#Apple] Watch Apple TV y el #.... (#Sunday 7 #December) ,0.0,Neutral
#Rumors #Surface for @@Apple [#Apple] #iPhone6S and #iPhone7 in #2015. (#Wednesday 3 #December) ,0.0,Neutral
#Rumors #Surface for @Apple [#Apple] #iPhone6S and #iPhone7 in #2015. (#Wednesday 3 #December) ,0.0,Neutral
#Russia Could #Ban #Apple Inc. #iPhone For #Lawmakers | @ValueWalk #AAPL #techFor reverse #security reasons,0.0,Neutral
#Russia is selling its banned #SteveJobs #tribute #statue | @CultofMac #Apple #AAPL #iPhone #memorial #bastards,0.0,Neutral
#Siri never understands me. She just said she was 'new 2 my language' and didn't get me. I speak English without major accent. #Apple @Apple,-2.0,Negative
#Siri/#Passbook Integration: @Apple Hiring Maps Engineer to Work on Improved Community #Crowdsourcing ,0.0,Neutral
#Sketchy #Rumor Claims @Apple [#Apple] Planning New 4. (#Thursday 4 #December) ,0.0,Neutral
#SteveJobs Predicted The Future Of #ECommerce Back In 1996 And Got It Exactly Right #aapl ,0.0,Neutral
#SteveJobs will be a crucial witness against #Apple in an #iPod antitrust suit via @BGR #aapl ,0.0,Neutral
#SteveJobs' Emails Show How He Wanted To Smear Competitors As ' #Hackers' #aapl ,-2.0,Negative
#Top #iPhone and #iPad games of #2014: @Apple [#Apple] names Monument Valley &amp; #Threes. (#Tuesday 9 #December) ,0.0,Neutral
#UBS #Increases @Apple [#Apple]'s #iPhone6 Sales #Revenue And EPS. (#Friday 5 #December) ,0.0,Neutral
#UBS increases #Apple's #iPhone6 sales revenue and #EPS #AAPL $AAPL $UBS #tech #iPhone6Plus ,2.0,Positive
#Use @Apple [#Apple]'s built in #security feature to #find your lost #iPhone.. (#Tuesday 9 #December) ,0.0,Neutral
#VerrÌ_cktes #GerÌ_cht: #iPhone6s zum @Apple [#Apple] Watch. (#Thursday 4 #December) ,0.0,Neutral
#VerrÌ_cktes #GerÌ_cht: #iPhone6s zum @Apple [#Apple] Watch. (#Tuesday 2 #December) ,0.0,Neutral
#VerrÌ_cktes #GerÌ_cht: #iPhone6s zum @Apple [#Apple] Watch. (#Wednesday 3 #December) ,0.0,Neutral
#WIN A #DIGITAL MAKEOVER #GIVEAWAY ! $1000 @APPLE GC IPAD #MACBOOK AND MORE ! #PIN,0.0,Neutral
#WearableDevices To #Consumers : You're Putting Me On - #IBDNews via @IBDinvestors #aapl #nke #grmn #amba #invn,0.0,Neutral
#Why #can't @Apple [#Apple] meet demand for the #iPhone6?. (#Friday 5 #December) ,-2.0,Negative
#Will @Apple [#Apple] head back to #Jobs ideology with 4in #iPhone6s?. (#Monday 8 #December) ,0.0,Neutral
#Will the #IPhone6Plus Shortage Hurt @Apple [#Apple] This Christmas?. (#Monday 8 #December) ,0.0,Neutral
#Win a #New @Apple @iPad Mini 3 with an @iTunes Gift Card! ,0.0,Neutral
#Winter can be scary but you can stay safe #Winnipeg with our free @Apple app ,0.0,Neutral
#YotaPhone2 is the future of cell phones. @apple and @samsung should be scared.,-2.0,Negative
#aapl #Apple stock price plummeting... Time to sell for a bit?,-2.0,Negative
#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors,0.0,Neutral
#aapl might invest in #Tsla to increase R&amp;D plus increase production multi-folds in EV Cars SUV s. By 2015 most of US &amp; China-Supercharged.,0.0,Neutral
#aapl traders? chart looks weaker than I'd like. already below 20 sma. momentum drop. Could sell off drag price to its 50 sma? #stockmarket,0.0,Neutral
#apple - #Samsung back in courts@Apple @SamsungMobile ,0.0,Neutral
#apple to expand #retail in #India by opening 500 new stores.@apple ,2.0,Positive
#applecare only cares about @Apple beware of false prophetsI mean profits!,-2.0,Negative
#brooklyn is changing! @apple store is heading to BK!,0.0,Neutral
#bug @apple #ios #spotlight #search search for twitter app selecting search the web results are for input BEA #6Plus ,0.0,Neutral
#chrome needs a fucking update ASAP. Why do @apple and @google play this stupid back n forth shit over software. #letmecreate,-2.0,Negative
#edgf14 Jane Horvath (director of global #privacy @Apple) is speaking,0.0,Neutral
#elevate is @apple's pick for number one #iPhone app of the year. ,0.0,Neutral
#gorgeous lighting @apple #GrandCentralStation ,0.0,Neutral
#hshdsh via @blogs4bytes - #Ideas @Apple Bought Borrowed and Stole #infographic ,0.0,Neutral
#iOS: A visual history (via @verge) @Apple #ipaded #edtech,0.0,Neutral
#iPhone #users face big change over @Apple [#Apple]'s Google search choice. (#Monday 1 #December) ,0.0,Neutral
#iPhone5s is the best mobile that I have had. That's easy It is only that works and It is wonderfull! Thanks @apple @tim_cook,2.0,Positive
#iPhone6 #6 Plus Availability And Wait Time Update: @Apple [#Apple] Store Verizon .... (#Sunday 7 #December) ,0.0,Neutral
#iPhone6 #6 Plus trigger spike in @Apple [#Apple] sales worldwide. (#Thursday 4 #December) ,0.0,Neutral
#iPhone6 #Plus Grabs 41% of U.S. #Phablet Sales #aapl ,2.0,Positive
#iPhone6 6 #Plus trigger spike in #Apple sales worldwide - via #aapl,0.0,Neutral
#iPhone6 sales success gives @Apple [#Apple] best ever UK market position. (#Thursday 4 #December) ,2.0,Positive
#iPhone6 users complain to @Apple [#Apple] about front. (#Wednesday 3 #December) ,-2.0,Negative
#iPhone6S Rumors Point To A CuriousåÊEarly 2015 Release - Forbes #aapl ,0.0,Neutral
#iPhone6S to #emerge spring 2015 with @Apple [#Apple] Watch?. (#Tuesday 2 #December) ,0.0,Neutral
#iPhone6c release date #rumours and #leaked images: #Will @Apple [#Apple] release a .... (#Thursday 4 #December) ,0.0,Neutral
#iPhone6c release date #rumours and #leaked images: @Apple [#Apple] said to #be working .... (#Friday 5 #Decem... ,0.0,Neutral
#ios8 upgrade creates #cutandpaste problems @apple not impressed. Anyone else ha,-2.0,Negative
#iscuba 360 degree camera rig cloud mobile gamed to surface #imask @Google @padi @Apple @Samsung @HTC #underwaterwearables #cardboard #pivot,0.0,Neutral
#mkt Final #AAPL #PutCallRatios for Friday December 5 2014: ,0.0,Neutral
#mkt Final #AAPL #PutCallRatios for Monday December 8 2014: ,0.0,Neutral
#mkt Final #AAPL #PutCallRatios for Thursday December 4 2014: ,0.0,Neutral
#mkt Final #AAPL #PutCallRatios for Tuesday December 2 2014: ,0.0,Neutral
#mkt Final #AAPL #PutCallRatios for Wednesday December 3 2014: ,0.0,Neutral
#realworld #etnui #magicleap #spin @Google @HTC @Apple @Samsung @magicleap this is a collection of dreams thoughts and discussions I share,0.0,Neutral
#sunrise #northamptonshire #northampton wow what a sunrise this morning #iPhone6 #apple @apple #sun ,2.0,Positive
#whoknew Why isn't @Apple on Twitter? #interestingfact #passingthetime,0.0,Neutral
#xcode #AAPL - source kit crash in swift - getting annoying now.,-2.0,Negative
$118+ tomorrow #AAPL,0.0,Neutral
$AAPL #AAPL green right now. Hope it stays.,0.0,Neutral
$AAPL $BIDU $NTES and more are on our stocks to buy list #AAPL #BIDU #NTES ,0.0,Neutral
$AAPL as expected some users still like small screens iPhone 6 mini reportedly on its way #AAPL ,0.0,Neutral
$AAPL has 17 analyst ratings in the last 30 days and 94% are positive. Median target: $130 (13% upside). #AAPL,0.0,Neutral
$AAPL has 4 analyst ratings in the last 7 days and 100% are positive. Median target: $137.5 (19% upside). #AAPL,0.0,Neutral
$AAPL iPhone 6 manufacturing costs show huge profit potential #AAPL ,0.0,Neutral
$AAPL shares fall despite price target increases from BMO Capital and Citigroup #Apple #AAPL #WallStreet #NASDAQ,-2.0,Negative
$AAPL to $120.00 before Christmas? Can't see the slid going any further. #AAPL,0.0,Neutral
$aapl @Apple survive the 2014 Holiday? Investors Say Yes. '#roc #NYC #California #SanFrancisco #tech #christmas2014.0,2.0,Positive
